date,count,package,cum_count
2022-10-10,5,mikropml,10245
2022-10-11,11,mikropml,10256
2022-10-12,22,mikropml,10278
2022-10-13,5,mikropml,10283
2022-10-14,5,mikropml,10288
2022-10-15,14,mikropml,10302
2022-10-16,17,mikropml,10319
2022-10-17,43,mikropml,10362
2022-10-18,31,mikropml,10393
2022-10-19,14,mikropml,10407
2022-10-20,30,mikropml,10437
2022-10-21,8,mikropml,10445
2022-10-22,12,mikropml,10457
2022-10-23,20,mikropml,10477
2022-10-24,8,mikropml,10485
2022-10-25,9,mikropml,10494
2022-10-26,15,mikropml,10509
2022-10-27,12,mikropml,10521
2022-10-28,16,mikropml,10537
2022-10-29,11,mikropml,10548
2022-10-30,7,mikropml,10555
2022-10-31,5,mikropml,10560
2022-11-01,14,mikropml,10574
2022-11-02,15,mikropml,10589
2022-11-03,15,mikropml,10604
2022-11-04,5,mikropml,10609
2022-11-05,35,mikropml,10644
2022-11-06,4,mikropml,10648
2022-11-07,30,mikropml,10678
2022-11-08,25,mikropml,10703
2022-11-09,9,mikropml,10712
2022-11-10,23,mikropml,10735
2022-11-11,7,mikropml,10742
2022-11-12,20,mikropml,10762
2022-11-13,8,mikropml,10770
2022-11-14,16,mikropml,10786
2022-11-15,9,mikropml,10795
2022-11-16,10,mikropml,10805
2022-11-17,14,mikropml,10819
2022-11-18,0,mikropml,10819
2022-11-19,0,mikropml,10819
2022-11-20,0,mikropml,10819
2022-11-21,0,mikropml,10819
